startIp,endIp,ipVersion,isAbuser,sourceCount,totalSources
45.192.96.183,45.192.96.183,4,true,36,154
80.82.77.33,80.82.77.33,4,true,34,154
86.54.31.38,86.54.31.38,4,true,34,154
101.36.104.242,101.36.104.242,4,true,34,154
71.6.199.23,71.6.199.23,4,true,33,154
93.174.95.106,93.174.95.106,4,true,33,154
101.36.126.70,101.36.126.70,4,true,33,154
125.17.108.32,125.17.108.32,4,true,33,154
2.57.121.112,2.57.121.112,4,true,32,154
80.82.77.139,80.82.77.139,4,true,32,154
82.158.224.115,82.158.224.115,4,true,32,154
83.168.71.160,83.168.71.160,4,true,32,154
94.102.49.193,94.102.49.193,4,true,32,154
154.81.14.244,154.81.14.244,4,true,32,154
185.91.69.217,185.91.69.217,4,true,32,154
45.249.245.88,45.249.245.88,4,true,31,154
69.5.20.239,69.5.20.239,4,true,31,154
71.6.135.131,71.6.135.131,4,true,31,154
71.6.146.130,71.6.146.130,4,true,31,154
89.248.167.131,89.248.167.131,4,true,31,154
134.65.30.157,134.65.30.157,4,true,31,154
144.79.133.252,144.79.133.252,4,true,31,154
54.161.134.131,54.161.134.131,4,true,30,154
61.111.244.152,61.111.244.152,4,true,30,154
86.54.31.32,86.54.31.32,4,true,30,154
101.36.118.177,101.36.118.177,4,true,30,154
101.36.125.11,101.36.125.11,4,true,30,154
107.150.119.229,107.150.119.229,4,true,30,154
115.140.161.61,115.140.161.61,4,true,30,154
138.2.0.137,138.2.0.137,4,true,30,154
162.142.125.212,162.142.125.212,4,true,30,154
203.55.131.3,203.55.131.3,4,true,30,154
2.57.121.25,2.57.121.25,4,true,29,154
2.57.122.238,2.57.122.238,4,true,29,154
14.116.184.171,14.116.184.171,4,true,29,154
41.111.128.195,41.111.128.195,4,true,29,154
43.159.36.92,43.159.36.92,4,true,29,154
45.15.224.178,45.15.224.178,4,true,29,154
71.6.146.185,71.6.146.185,4,true,29,154
71.6.146.186,71.6.146.186,4,true,29,154
71.6.165.200,71.6.165.200,4,true,29,154
82.24.64.32,82.24.64.32,4,true,29,154
152.32.162.42,152.32.162.42,4,true,29,154
159.223.45.78,159.223.45.78,4,true,29,154
162.142.125.216,162.142.125.216,4,true,29,154
162.142.125.220,162.142.125.220,4,true,29,154
167.94.146.52,167.94.146.52,4,true,29,154
188.166.49.241,188.166.49.241,4,true,29,154
209.38.93.137,209.38.93.137,4,true,29,154
213.209.159.159,213.209.159.159,4,true,29,154
218.145.181.48,218.145.181.48,4,true,29,154
220.80.223.144,220.80.223.144,4,true,29,154
222.89.169.98,222.89.169.98,4,true,29,154
45.84.107.33,45.84.107.33,4,true,28,154
45.84.107.172,45.84.107.172,4,true,28,154
45.156.128.72,45.156.128.72,4,true,28,154
46.101.251.163,46.101.251.163,4,true,28,154
64.89.160.47,64.89.160.47,4,true,28,154
80.82.70.133,80.82.70.133,4,true,28,154
86.54.31.34,86.54.31.34,4,true,28,154
86.54.31.42,86.54.31.42,4,true,28,154
101.206.107.245,101.206.107.245,4,true,28,154
103.239.252.132,103.239.252.132,4,true,28,154
114.111.54.188,114.111.54.188,4,true,28,154
120.241.79.66,120.241.79.66,4,true,28,154
157.245.193.43,157.245.193.43,4,true,28,154
162.142.125.39,162.142.125.39,4,true,28,154
162.142.125.113,162.142.125.113,4,true,28,154
162.142.125.207,162.142.125.207,4,true,28,154
162.142.125.209,162.142.125.209,4,true,28,154
162.142.125.213,162.142.125.213,4,true,28,154
165.22.106.85,165.22.106.85,4,true,28,154
167.94.138.121,167.94.138.121,4,true,28,154
167.94.146.51,167.94.146.51,4,true,28,154
167.94.146.57,167.94.146.57,4,true,28,154
167.94.146.58,167.94.146.58,4,true,28,154
167.94.146.59,167.94.146.59,4,true,28,154
167.94.146.60,167.94.146.60,4,true,28,154
178.62.207.223,178.62.207.223,4,true,28,154
199.45.154.119,199.45.154.119,4,true,28,154
199.45.154.140,199.45.154.140,4,true,28,154
199.45.154.157,199.45.154.157,4,true,28,154
199.45.155.79,199.45.155.79,4,true,28,154
199.45.155.94,199.45.155.94,4,true,28,154
206.168.34.32,206.168.34.32,4,true,28,154
206.168.34.41,206.168.34.41,4,true,28,154
206.168.34.59,206.168.34.59,4,true,28,154
20.163.4.176,20.163.4.176,4,true,27,154
24.84.30.89,24.84.30.89,4,true,27,154
42.51.32.228,42.51.32.228,4,true,27,154
45.156.128.71,45.156.128.71,4,true,27,154
45.156.129.85,45.156.129.85,4,true,27,154
45.175.37.18,45.175.37.18,4,true,27,154
61.76.112.4,61.76.112.4,4,true,27,154
61.92.58.210,61.92.58.210,4,true,27,154
61.156.218.5,61.156.218.5,4,true,27,154
66.116.205.1,66.116.205.1,4,true,27,154
66.240.219.146,66.240.219.146,4,true,27,154
78.128.112.74,78.128.112.74,4,true,27,154
82.165.66.87,82.165.66.87,4,true,27,154
89.248.168.239,89.248.168.239,4,true,27,154
116.34.14.135,116.34.14.135,4,true,27,154
121.165.204.105,121.165.204.105,4,true,27,154
121.227.152.250,121.227.152.250,4,true,27,154
130.12.181.151,130.12.181.151,4,true,27,154
139.19.117.131,139.19.117.131,4,true,27,154
143.244.190.213,143.244.190.213,4,true,27,154
159.223.225.168,159.223.225.168,4,true,27,154
162.142.125.193,162.142.125.193,4,true,27,154
162.142.125.204,162.142.125.204,4,true,27,154
162.142.125.217,162.142.125.217,4,true,27,154
163.7.1.156,163.7.1.156,4,true,27,154
165.154.227.162,165.154.227.162,4,true,27,154
167.94.138.117,167.94.138.117,4,true,27,154
167.94.146.50,167.94.146.50,4,true,27,154
167.94.146.53,167.94.146.53,4,true,27,154
167.94.146.54,167.94.146.54,4,true,27,154
167.94.146.56,167.94.146.56,4,true,27,154
167.94.146.61,167.94.146.61,4,true,27,154
185.246.128.171,185.246.128.171,4,true,27,154
193.32.162.151,193.32.162.151,4,true,27,154
199.45.154.122,199.45.154.122,4,true,27,154
199.45.155.73,199.45.155.73,4,true,27,154
199.45.155.76,199.45.155.76,4,true,27,154
199.45.155.77,199.45.155.77,4,true,27,154
199.45.155.82,199.45.155.82,4,true,27,154
199.45.155.83,199.45.155.83,4,true,27,154
199.45.155.86,199.45.155.86,4,true,27,154
206.168.34.58,206.168.34.58,4,true,27,154
218.157.205.238,218.157.205.238,4,true,27,154
222.104.120.107,222.104.120.107,4,true,27,154
3.131.220.121,3.131.220.121,4,true,26,154
5.101.64.6,5.101.64.6,4,true,26,154
18.218.118.203,18.218.118.203,4,true,26,154
20.65.154.130,20.65.154.130,4,true,26,154
20.65.194.180,20.65.194.180,4,true,26,154
20.163.59.190,20.163.59.190,4,true,26,154
40.124.81.157,40.124.81.157,4,true,26,154
41.63.63.134,41.63.63.134,4,true,26,154
43.133.203.218,43.133.203.218,4,true,26,154
43.252.231.122,43.252.231.122,4,true,26,154
