startIp,endIp,ipVersion,serviceName,serviceUrl,exitNodeType,lastSeen,lastSeenStr,exitNodeRegion,hostname,countryCode,cityName,latitude,longitude
173.239.216.7,173.239.216.7,4,ExpressVPN,https://expressvpn.com,exit_node,1739591040389,2025-02-15T03:44:00.389Z,Switzerland,,CH,,,
199.115.195.18,199.115.195.18,4,ExpressVPN,https://expressvpn.com,exit_node,1737018350421,2025-01-16T09:05:50.421Z,USA - Miami,,,,,
193.9.39.4,193.9.39.4,4,ProtonVPN,https://protonvpn.com,vpn_server,1741718836709,2025-03-11T18:47:16.709Z,TG#4,,,,,
185.187.168.161,185.187.168.161,4,NordVPN,https://nordvpn.com,exit_node,1737067727728,2025-01-16T22:48:47.728Z,San Francisco,,,,,
185.244.212.69,185.244.212.69,4,IVPN,https://ivpn.net,vpn_server,1741718836758,2025-03-11T18:47:16.758Z,"Vienna, Austria",,,,,
45.84.136.232,45.84.136.232,4,NordVPN,https://nordvpn.com,exit_node,1740954976049,2025-03-02T22:36:16.049Z,France #680,,FR,Paris,48.866667,2.333333
192.200.148.114,192.200.148.114,4,IPVanish,https://ipvanish.com,vpn_server,1741718820188,2025-03-11T18:47:00.188Z,ipvanish-US-Atlanta-atl-b81,,,,,
146.70.201.132,146.70.201.132,4,MullvadVPN,https://mullvad.net,exit_node,1741218027254,2025-03-05T23:40:27.254Z,mullvad_jp_all,,JP,,,
50.114.45.2,50.114.45.2,4,ExpressVPN,https://expressvpn.com,exit_node,1740673826344,2025-02-27T16:30:26.344Z,,,,,,
92.62.123.102,92.62.123.102,4,Surfshark,https://surfshark.com,exit_node,1741701410798,2025-03-11T13:56:50.798Z,gl-goh.prod.surfshark.com_udp.ovpn,,GL,nuuk,64.18347,-51.72157
146.70.173.159,146.70.173.159,4,MullvadVPN,https://mullvad.net,exit_node,1740095472758,2025-02-20T23:51:12.758Z,us-lax-wg-403,,us,Los Angeles,34.05223,-118.24368
84.17.56.180,84.17.56.180,4,CyberGhost,https://cyberghostvpn.com,vpn_server,1741718787753,2025-03-11T18:46:27.753Z,Hong Kong,,,,,
95.181.238.89,95.181.238.89,4,Private Internet Access,https://privateinternetaccess.com,exit_node,1741073932780,2025-03-04T07:38:52.780Z,bahamas,,BS,,,
193.29.107.166,193.29.107.166,4,ProtonVPN,https://protonvpn.com,vpn_server,1741718836710,2025-03-11T18:47:16.710Z,DK#52,,,,,
216.131.76.147,216.131.76.147,4,IPVanish,https://ipvanish.com,vpn_server,1741718821919,2025-03-11T18:47:01.919Z,ipvanish-US-Chicago-chi-b25,,,,,
178.132.110.18,178.132.110.18,4,NordVPN,https://nordvpn.com,exit_node,1740196284649,2025-02-22T03:51:24.649Z,Slovakia #55,,SK,Bratislava,48.15,17.116667
92.118.205.70,92.118.205.70,4,VPN Unlimited,https://vpnunlimitedapp.com,vpn_server,1741718788651,2025-03-11T18:46:28.651Z,pl,,,,,
79.127.146.56,79.127.146.56,4,ProtonVPN,https://protonvpn.com,vpn_server,1741718836710,2025-03-11T18:47:16.710Z,UK#585,,,,,
92.249.30.141,92.249.30.141,4,Hotspot Shield,https://hotspotshield.com,exit_node,1741395142362,2025-03-08T00:52:22.362Z,,,,,,
45.137.106.162,45.137.106.162,4,Hotspot Shield,https://hotspotshield.com,exit_node,1741322697515,2025-03-07T04:44:57.515Z,,,,,,
