ipVersion,startIp,endIp,datacenter,domain
4,94.46.254.17,94.46.254.17,MissDomain Group AB,missdomain.com
4,77.95.227.155,77.95.227.155,Snel.com B.V.,www.snel.com
4,77.159.250.168,77.159.250.175,Internet Services,isi.ch
4,5.10.23.0,5.10.23.255,BBS Commerce Ltd,icloudhosting.com
4,94.130.248.0,94.130.248.7,Hetzner Online GmbH,www.hetzner.com
4,46.38.176.64,46.38.176.127,CORE One-Hour Servers IP Space,rackspace.com
4,31.222.133.128,31.222.133.255,Rackspace Germany GmbH,www.rackspace.com
4,45.141.28.0,45.141.31.255,SinnerG B.V.,www.sinnerg.nl
4,194.93.137.0,194.93.137.255,Itility Limited,itility.co.uk
4,185.192.113.0,185.192.113.255,RADCOM ParsOnline,parsonline.net
4,43.248.44.0,43.248.47.255,Colocity Pty Ltd,www.colocity.com
4,5.63.145.8,5.63.145.15,Hosting Services Inc,www.ingenuitycloudservices.com
4,88.214.238.0,88.214.239.255,Overoptic Systems LTD,ipipe.net
4,85.235.150.0,85.235.150.255,Aruba S.p.A.,www.aruba.it
4,38.88.179.104,38.88.179.107,"GorillaServers, Inc.",www.gorillaservers.com
4,43.175.43.0,43.175.43.255,6 COLLYER QUAY,tencent.com
4,77.135.182.208,77.135.182.215,Internet Services,isi.ch
4,94.46.121.202,94.46.121.202,MissDomain Group AB,missdomain.com
4,109.233.125.0,109.233.125.255,CriticalCase s.r.l,www.criticalcase.com
4,51.77.189.100,51.77.189.103,OVH GmbH,proof.ovh.net
4,178.170.0.0,178.170.0.255,SERVERS,ikoula.com
4,37.71.136.176,37.71.136.179,Internet Services,isi.ch
4,146.19.62.0,146.19.62.127,code200,www.code200.global
4,146.59.189.128,146.59.189.143,OVH Hispano,www.ovh.com
4,45.83.252.0,45.83.252.255,Prager Connect GmbH,www.prager-it.com
4,135.125.153.96,135.125.153.111,OVH Sp. z o. o.,proof.ovh.net
4,193.193.160.0,193.193.160.255,iNet Ltd,www.inet.de
4,195.14.22.0,195.14.22.255,Aqua Ray SAS,www.aquaray.com
4,89.107.226.64,89.107.226.79,"Cuneyt Mentesoglu trading as ""Birbir Internet Hizmetleri""",www.birbir.net.tr
4,212.42.129.0,212.42.129.255,EveryWare Ltd,www.everyware.ch
4,185.149.73.0,185.149.73.255,DATACENTER,fujikura-automotive.com
4,109.111.207.174,109.111.207.174,Metronet UK LTD trading as M247,m247.com
4,195.168.224.0,195.168.224.255,"SWAN, a.s.",www.swan.sk
4,27.254.100.0,27.254.100.255,reassign to Cloud service,csl.co.th
4,148.251.38.128,148.251.38.135,Hetzner Online GmbH,www.hetzner.com
4,87.108.84.160,87.108.84.167,Equinix Customer - Equinix (Finland) Oy,www.equinix.com
4,154.18.2.232,154.18.2.239,PT Bit Teknologi Nusantara,bit-teknologi.com
4,45.201.205.0,45.201.205.255,"EZECOM Co., Ltd.",www.godaddy.com
4,156.232.32.0,156.232.32.255,"HUIHOST CO., LIMITED",cloudinnovation.org
4,46.36.222.0,46.36.222.255,Network for hosting services,fastvps.ee
4,212.61.159.152,212.61.159.159,Claranet UK Ltd,www.claranet.com
4,78.47.211.77,78.47.211.77,Timme Hosting GmbH & Co. KG,timmehosting.de
4,5.199.132.0,5.199.132.255,myLoc managed IT AG,www.myloc.de
4,154.199.66.0,154.199.66.255,Octopus Web Solution Inc,ows.us
4,94.46.124.63,94.46.124.63,MissDomain Group AB,missdomain.com
4,94.130.118.88,94.130.118.95,LowHosting.org,hetzner.com
4,188.72.222.0,188.72.222.255,Webzilla B.V.,webzilla.com
4,217.182.56.80,217.182.56.83,OVH SAS,proof.ovh.net
4,185.247.95.0,185.247.95.255,UGTCLOUD,ugt.ge
4,128.204.206.153,128.204.206.153,Snel.com B.V.,www.snel.com
4,103.220.108.0,103.220.111.255,"Zhejiang Watone Cloud Data Technology Co., Ltd",wasu.com.cn
4,185.250.187.0,185.250.187.255,Cablestreet Ltd,cable.st
4,109.231.220.32,109.231.220.47,Exponential-e Ltd,www.exponential-e.com
4,31.13.218.88,31.13.218.95,NETERRA RAICOMMERCE NET,neterra.net
4,144.76.240.248,144.76.240.255,Hetzner Online GmbH,www.hetzner.com
4,45.136.0.0,45.136.1.255,NEROCLOUD LTD,nerocloud.io
4,213.140.128.0,213.140.133.255,DATAWAYS S.A.,www.dataways.gr
4,167.235.173.219,167.235.173.219,Timme Hosting GmbH & Co. KG,timmehosting.de
4,148.251.233.160,148.251.233.191,Hetzner Online GmbH,www.hetzner.com
4,149.210.172.0,149.210.172.255,TransIP BV,www.transip.nl
4,86.65.193.112,86.65.193.119,Internet Services,isi.ch
4,37.247.96.0,37.247.96.7,"Cuneyt Mentesoglu trading as ""Birbir Internet Hizmetleri""",www.birbir.net.tr
4,47.250.0.0,47.254.255.255,Alibaba Cloud LLC,eu.alibabacloud.com
4,109.75.165.157,109.75.165.157,WebHosting UK Com LTD server,www.eukhost.com
4,212.188.39.0,212.188.39.255,Akamai node,www.akamai.com
4,169.44.56.72,169.44.56.79,SoftLayer - Corporate (34455),www.ibm.com
4,83.174.152.216,83.174.152.223,CONNECTICORE TELECOMMUNICATIONS INFORMATION TECHNOLOGY S.A,connecticore.com
4,89.18.182.32,89.18.182.63,Flexwebhosting BV,www.flexwebhosting.nl
4,51.195.81.32,51.195.81.47,OVH Srl,proof.ovh.net
4,62.69.77.0,62.69.77.255,Itility Limited,itility.co.uk
4,112.78.206.0,112.78.206.255,SAKURA Internet Inc.,www.sakura.ad.jp
4,43.228.156.0,43.228.159.255,Gaditek Associates,pointtoserver.com
4,200.40.129.32,200.40.129.63,Palacio Legislativo collocation,antel.net.uy
4,5.135.204.40,5.135.204.43,OVH Hispano,www.ovh.com
4,148.252.193.51,148.252.193.51,M247 UK Ltd,m247.com
4,92.43.212.0,92.43.212.255,Colocation customer,guernsey.net
4,94.46.116.21,94.46.116.21,MissDomain Group AB,missdomain.com
4,176.31.206.160,176.31.206.191,OVH HOSTING OY,proof.ovh.net
4,51.38.72.192,51.38.72.195,OVH Ltd,proof.ovh.net
4,167.82.224.0,167.82.239.255,"Fastly, Inc.",www.fastly.com
4,78.46.195.144,78.46.195.159,Hetzner Online GmbH,www.hetzner.com
4,188.114.246.100,188.114.246.100,MissDomain Group AB,missdomain.com
4,80.84.58.64,80.84.58.127,Redstation Limited,www.iomart.com
4,103.190.137.0,103.190.137.255,Maruf Online BD,marufonlinebd.net
4,156.38.243.64,156.38.243.79,xneelo-tscolo,xneelo.co.za
4,86.65.32.80,86.65.32.87,Internet Services,isi.ch
4,5.133.8.56,5.133.8.63,Surfshark ltd,surfshark.com
4,143.244.62.0,143.244.63.255,DataCamp Limited,www.datacamp.co.uk
4,195.114.108.0,195.114.111.255,Hyve Ltd,www.hyve.com
4,77.90.40.0,77.90.40.255,GHOSTnet GmbH,www.ghostnet.de
4,85.133.54.0,85.133.54.255,ServerSpace Ltd.,rackspace.com
