startIp,endIp,ipVersion,datacenter,domain
2a01:04f9:006a:583c:0000:0000:0000:0000,2a01:04f9:006a:583c:ffff:ffff:ffff:ffff,6,Cloud Linux Software Inc,hetzner.com
2001:41d0:0b01:3d00:0000:0000:0000:0000,2001:41d0:0b01:3dff:ffff:ffff:ffff:ffff,6,OVH SAS,ovhcloud.com
2a03:c7c0:002d:033b:0000:0000:0000:0000,2a03:c7c0:002d:033b:ffff:ffff:ffff:ffff,6,GINERNET,ginernet.com
2a02:16d0:1400:0000:0000:0000:0000:0000,2a02:16d0:1400:0000:ffff:ffff:ffff:ffff,6,PLUTEX GmbH Kundennetz,plutex.de
2a00:8a80:0000:0000:0000:0000:0000:0000,2a00:8a87:ffff:ffff:ffff:ffff:ffff:ffff,6,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,airenetworks.es
2a01:04f8:0162:44c8:0000:0000:0000:0000,2a01:04f8:0162:44c8:ffff:ffff:ffff:ffff,6,SHELLRENT SPA,shellrent.com
2a06:d2c0:0000:0000:0000:0000:0000:0000,2a06:d2c7:ffff:ffff:ffff:ffff:ffff:ffff,6,Internet Vikings International AB,internetvikings.com
2a01:04f8:01bd:0500:0000:0000:0000:0000,2a01:04f8:01bd:05ff:ffff:ffff:ffff:ffff,6,Hetzner Online GmbH,hetzner.com
2001:0978:0002:0072:0000:0000:0000:0000,2001:0978:0002:0072:0000:0000:0000:ffff,6,FDC Servers.NET LLC,fdcservers.net
2a02:0728:0ce1:0000:0000:0000:0000:0000,2a02:0728:0ce1:00ff:ffff:ffff:ffff:ffff,6,IC Computers / IC Hosting,easyhosting.nl
2001:4d78:0407:00cd:0000:0000:0000:0000,2001:4d78:0407:00cd:ffff:ffff:ffff:ffff,6,Equinix (Netherlands) B.V.,equinix.com
2a0a:c3c2:4000:0000:0000:0000:0000:0000,2a0a:c3c2:4fff:ffff:ffff:ffff:ffff:ffff,6,"RACKTECH CO., LTD.",racktech.ru
2001:4d78:0500:0522:0000:0000:0000:0000,2001:4d78:0500:0522:ffff:ffff:ffff:ffff,6,Equinix (Netherlands) B.V.,equinix.com
2a00:9c00:0000:0000:0000:0000:0000:0000,2a00:9c00:ffff:ffff:ffff:ffff:ffff:ffff,6,TRISOPTERUS LTD,robtex.com
2a05:91c0:3246:0000:0000:0000:0000:0000,2a05:91c0:3246:ffff:ffff:ffff:ffff:ffff,6,Chroot Network SRL,chroot.ro
2a02:cbf5:0000:0004:0000:0000:0000:0000,2a02:cbf5:0000:0004:ffff:ffff:ffff:ffff,6,plusserver,plusserver.com
2a0e:fd87:a0b0:0000:0000:0000:0000:0000,2a0e:fd87:a0b0:ffff:ffff:ffff:ffff:ffff,6,Edge Technology Plus d.o.o. Beograd,tele.tech
2a00:7b80:3047:0002:0000:0000:0000:0000,2a00:7b80:3047:0002:ffff:ffff:ffff:ffff,6,Snel.com B.V.,snel.com
2a01:04f8:0271:2c9e:0000:0000:0000:0000,2a01:04f8:0271:2c9e:ffff:ffff:ffff:ffff,6,Hosting Ukraine,ukraine.com.ua
2001:0550:0002:0001:0000:0000:013e:0000,2001:0550:0002:0001:0000:0000:013e:ffff,6,Oracle America Inc,oracle.com
2400:3d20:0000:0000:0000:0000:0000:0000,2400:3d20:ffff:ffff:ffff:ffff:ffff:ffff,6,54North,54north.net
2a03:b200:0002:0000:0000:0000:0000:0000,2a03:b200:0002:ffff:ffff:ffff:ffff:ffff,6,Melbourne Server Hosting Ltd,melbourne.co.uk
2a0b:5c40:0000:0000:0000:0000:0000:0000,2a0b:5c47:ffff:ffff:ffff:ffff:ffff:ffff,6,ITCONNECT Scandinavia AB,itconnect.se
2804:05ec:0000:0000:0000:0000:0000:0000,2804:05ec:ffff:ffff:ffff:ffff:ffff:ffff,6,E Greco Falchione Manutencao,activepage.com.br
2a10:c340:c000:0000:0000:0000:0000:0000,2a10:c340:cfff:ffff:ffff:ffff:ffff:ffff,6,"RACKTECH CO., LTD.",racktech.ru
2a13:a5c6:0000:0000:0000:0000:0000:0000,2a13:a5c6:ffff:ffff:ffff:ffff:ffff:ffff,6,RADISHCLOUD TECHNOLOGY LLC,radishnet.work
2a05:91c0:2184:0000:0000:0000:0000:0000,2a05:91c0:2184:ffff:ffff:ffff:ffff:ffff,6,Chroot Network SRL,chroot.ro
2a13:0440:0000:0000:0000:0000:0000:0000,2a13:0447:ffff:ffff:ffff:ffff:ffff:ffff,6,Migadu-Mail Gmbh,migadu.com
2a01:04f8:0171:1c68:0000:0000:0000:0000,2a01:04f8:0171:1c68:ffff:ffff:ffff:ffff,6,FastVPS Eesti O�,fastvps.ee
2a01:04f8:0171:0f2a:0000:0000:0000:0000,2a01:04f8:0171:0f2a:ffff:ffff:ffff:ffff,6,IPSERVER LTD,ipserver.su
2a01:07a7:0002:2ffe:0000:0000:0000:0000,2a01:07a7:0002:2ffe:ffff:ffff:ffff:ffff,6,velia.net,velia.net
2a00:0c38:0002:7f00:0000:0000:0000:0000,2a00:0c38:0002:7fff:ffff:ffff:ffff:ffff,6,NTS workspace AG,nts.ch
2a01:04f8:0200:13dc:0000:0000:0000:0000,2a01:04f8:0200:13dc:ffff:ffff:ffff:ffff,6,FastVPS Eesti O�,fastvps.ee
2a0a:56c4:0003:0000:0000:0000:0000:0000,2a0a:56c4:0003:ffff:ffff:ffff:ffff:ffff,6,Baffin Bay Networks,baffinbaynetworks.com
2401:8a60:0000:0000:0000:0000:0000:0000,2401:8a60:ffff:ffff:ffff:ffff:ffff:ffff,6,UTHO CLOUD PRIVATE LIMITED,utho.com
2001:07f8:00e8:0000:0000:0000:0000:0000,2001:07f8:00e8:ffff:ffff:ffff:ffff:ffff,6,S3 Company Ltd,s3c.bg
2001:0550:0002:0031:0000:0000:0088:0000,2001:0550:0002:0031:0000:0000:0088:ffff,6,Expereo USA Inc,expereo.com
2401:c740:0000:0000:0000:0000:0000:0000,2401:c740:ffff:ffff:ffff:ffff:ffff:ffff,6,Netrouting Inc,netrouting.com
2a02:7240:0000:0000:0000:0000:0000:0000,2a02:7240:ffff:ffff:ffff:ffff:ffff:ffff,6,Cyber_Folks S.A.,cyberfolks.pl
2a10:6ec0:0000:0000:0000:0000:0000:0000,2a10:6ec7:ffff:ffff:ffff:ffff:ffff:ffff,6,Christian Funk trading as Christian Funk Holding GmbH & Co. KG,funk.group
2a01:07a7:0002:3c18:0000:0000:0000:0000,2a01:07a7:0002:3c18:ffff:ffff:ffff:ffff,6,"RackNerd, LLC",racknerd.com
2a04:5200:0ff2:0000:0000:0000:0000:0000,2a04:5200:0ff2:ffff:ffff:ffff:ffff:ffff,6,FIRST SERVER LIMITED,firstbyte.pro
2602:f45d:0000:0000:0000:0000:0000:0000,2602:f45d:00ff:ffff:ffff:ffff:ffff:ffff,6,Rapid Hacks LLC,rapidhacks.cloud
2a05:ac40:0000:0000:0000:0000:0000:0000,2a05:ac47:ffff:ffff:ffff:ffff:ffff:ffff,6,stepping stone AG,stepping-stone.ch
2001:0550:0002:0078:0000:0000:03b3:0196,2001:0550:0002:0078:0000:0000:03b3:0197,6,VPLS,vpls.com
2a02:28f0:0000:0001:0000:0000:0000:0000,2a02:28f0:0000:0001:ffff:ffff:ffff:ffff,6,ODERLAND Webbhotell AB,oderland.se
