startIp,endIp,ipVersion,serviceName
185.255.130.9,185.255.130.9,4,NordVPN__https://nordvpn.com
31.217.248.17,31.217.248.17,4,ExpressVPN__https://expressvpn.com
45.10.155.14,45.10.155.14,4,NordVPN__https://nordvpn.com
185.61.158.157,185.61.158.157,4,NordVPN__https://nordvpn.com
193.187.128.97,193.187.128.97,4,NordVPN__https://nordvpn.com
213.109.200.243,213.109.200.243,4,NordVPN__https://nordvpn.com
193.160.245.225,193.160.245.225,4,NordVPN__https://nordvpn.com
205.185.209.116,205.185.209.116,4,IPVanish__https://ipvanish.com
91.214.65.181,91.214.65.181,4,NordVPN__https://nordvpn.com
45.140.184.103,45.140.184.103,4,NordVPN__https://nordvpn.com
217.114.38.177,217.114.38.177,4,NordVPN__https://nordvpn.com
50.114.45.235,50.114.45.235,4,ExpressVPN__https://expressvpn.com
216.131.120.128,216.131.120.128,4,IPVanish__https://ipvanish.com
94.140.11.213,94.140.11.213,4,NordVPN__https://nordvpn.com
84.17.49.47,84.17.49.47,4,CyberGhost__https://cyberghostvpn.com
185.213.82.30,185.213.82.30,4,NordVPN__https://nordvpn.com
98.159.234.147,98.159.234.147,4,Private Internet Access__https://privateinternetaccess.com
89.35.30.215,89.35.30.215,4,NordVPN__https://nordvpn.com
139.28.176.44,139.28.176.44,4,Surfshark__https://surfshark.com
192.166.246.89,192.166.246.89,4,NordVPN__https://nordvpn.com
193.43.135.250,193.43.135.250,4,NordVPN__https://nordvpn.com
193.160.101.54,193.160.101.54,4,NordVPN__https://nordvpn.com
94.46.164.244,94.46.164.244,4,VPNArea__https://vpnarea.com
79.135.105.18,79.135.105.18,4,ProtonVPN__https://protonvpn.com
94.140.9.34,94.140.9.34,4,NordVPN__https://nordvpn.com
64.145.79.184,64.145.79.184,4,IPVanish__https://ipvanish.com
178.238.10.83,178.238.10.83,4,Surfshark__https://surfshark.com
45.10.153.86,45.10.153.86,4,NordVPN__https://nordvpn.com
212.103.60.41,212.103.60.41,4,NordVPN__https://nordvpn.com
84.247.95.7,84.247.95.7,4,Private Internet Access__https://privateinternetaccess.com
146.70.72.139,146.70.72.139,4,ProtonVPN__https://protonvpn.com
5.62.63.212,5.62.63.212,4,Hide My Ass VPN__https://hidemyass.com
45.130.81.10,45.130.81.10,4,ExpressVPN__https://expressvpn.com
159.148.58.10,159.148.58.10,4,Surfshark__https://surfshark.com
185.161.202.24,185.161.202.24,4,NordVPN__https://nordvpn.com
130.195.250.89,130.195.250.89,4,ProtonVPN__https://protonvpn.com
86.48.9.174,86.48.9.174,4,NordVPN__https://nordvpn.com
45.88.190.222,45.88.190.222,4,NordVPN__https://nordvpn.com
45.130.105.81,45.130.105.81,4,NordVPN__https://nordvpn.com
163.5.171.91,163.5.171.91,4,ProtonVPN__https://protonvpn.com
212.97.65.18,212.97.65.18,4,NordVPN__https://nordvpn.com
217.138.199.27,217.138.199.27,4,NordVPN__https://nordvpn.com
185.209.198.125,185.209.198.125,4,MullvadVPN__https://mullvad.net
192.166.244.248,192.166.244.248,4,NordVPN__https://nordvpn.com
2a00:1520:27:1:8886:2a70:30c6:fdff,2a00:1520:27:1:8886:2a70:30c6:fdff,6,AirVPN__https://airvpn.org
144.48.37.36,144.48.37.36,4,NordVPN__https://nordvpn.com
194.35.123.221,194.35.123.221,4,NordVPN__https://nordvpn.com
194.26.211.57,194.26.211.57,4,NordVPN__https://nordvpn.com
176.97.206.38,176.97.206.38,4,NordVPN__https://nordvpn.com
146.70.202.103,146.70.202.103,4,ProtonVPN__https://protonvpn.com
193.160.247.16,193.160.247.16,4,NordVPN__https://nordvpn.com
212.97.66.27,212.97.66.27,4,NordVPN__https://nordvpn.com
181.214.151.165,181.214.151.165,4,NordVPN__https://nordvpn.com
92.119.17.108,92.119.17.108,4,NordVPN__https://nordvpn.com
156.67.94.211,156.67.94.211,4,NordVPN__https://nordvpn.com
169.197.125.206,169.197.125.206,4,IPVanish__https://ipvanish.com
156.146.57.190,156.146.57.190,4,Private Internet Access__https://privateinternetaccess.com
2606:6080:1002:8:a57f:4e14:3b7d:e114,2606:6080:1002:8:a57f:4e14:3b7d:e114,6,AirVPN__https://airvpn.org
185.255.130.21,185.255.130.21,4,NordVPN__https://nordvpn.com
207.204.228.15,207.204.228.15,4,IPVanish__https://ipvanish.com
2606:6080:1001:12:29c2:859:c15c:c453,2606:6080:1001:12:29c2:859:c15c:c453,6,AirVPN__https://airvpn.org
46.19.140.205,46.19.140.205,4,MullvadVPN__https://mullvad.net
217.64.148.52,217.64.148.52,4,OVPN__https://ovpn.com
156.146.54.81,156.146.54.81,4,ProtonVPN__https://protonvpn.com
84.247.41.83,84.247.41.83,4,NordVPN__https://nordvpn.com
83.219.96.140,83.219.96.140,4,ExpressVPN__https://expressvpn.com
176.113.74.89,176.113.74.89,4,ProtonVPN__https://protonvpn.com
185.242.5.82,185.242.5.82,4,TorGuard__https://torguard.net
194.146.15.245,194.146.15.245,4,NordVPN__https://nordvpn.com
194.35.121.72,194.35.121.72,4,NordVPN__https://nordvpn.com
185.213.80.107,185.213.80.107,4,NordVPN__https://nordvpn.com
181.214.196.115,181.214.196.115,4,NordVPN__https://nordvpn.com
